,Probabilities
194,0.376676747
195,0.009520391
196,0.048092869
197,0.485543441
198,0.062818117
199,0.164140361
200,0.247328977
201,0.05752745
202,0.244028802
203,0.008876772
204,0.00888104
205,0.631859236
206,0.001435578
207,0.088767206
208,0.08345691
209,0.430414697
210,0.004695986
211,0.017475393
212,0.028778154
213,0.3906021
214,0.022794731
215,0.016402404
216,0.019933986
217,0.349489651
218,0.097072882
219,0.003807905
220,0.053179594
221,0.020305051
222,0.061392476
223,0.404462121
224,0.013064698
225,0.175887115
226,0.002912646
227,0.251176656
228,0.828411834
229,0.389360573
230,0.016869492
231,0.155570738
232,0.086171098
233,0.076385283
234,0.01513354
235,0.104549872
236,0.244394175
237,0.015464774
238,0.020446322
239,0.274485176
240,0.017456498
241,0.01738781
242,0.734551248
243,0.383081224
244,0.369663365
245,0.646417092
246,0.049961321
247,0.114455742
248,0.210032605
249,0.178655627
250,0.13574963
251,0.004980719
252,0.078945458
253,0.555486662
254,0.011979178
255,0.003433768
256,0.008821958
257,0.229807485
258,0.02434214
259,0.010209315
260,0.01990035
261,0.014198862
262,0.112429531
263,0.145549916
264,0.647107998
265,0.012446701
266,0.144406968
267,0.088743991
268,0.419560387
269,0.283529271
270,0.022066936
271,0.004331815
272,0.004302229
273,0.233936237
274,0.129043379
275,0.271969781
276,0.018805563
277,0.013438524
278,0.012997084
279,0.007318084
280,0.00584919
281,0.014259342
282,0.54024118
283,0.004347871
284,0.730180412
285,0.006663613
286,0.796122909
287,0.019923225
288,0.11314717
289,0.013983599
290,0.017965637
291,0.113392094
292,0.130330054
293,0.023907043
294,0.00764492
295,0.004635522
296,0.015298813
297,0.748950751
298,0.024706659
299,0.373301891
300,0.005465776
301,0.020093749
302,0.067315035
303,0.490538844
304,0.255828935
305,0.016709314
306,0.434401565
307,0.019807491
308,0.330134119
309,0.003161941
310,0.101247332
311,0.010251427
312,0.01825142
313,0.14133506
314,0.287529221
315,0.034083682
316,0.13373903
317,0.173793664
318,0.224582978
319,0.233489478
320,0.008878459
321,0.008505686
322,0.378190498
323,0.013222931
324,0.006017801
325,0.021787387
326,0.006716475
327,0.035930857
328,0.002921675
329,0.59665427
330,0.222434312
331,0.011054198
332,0.016606604
333,0.00576316
334,0.810942846
335,0.032791119
336,0.183418529
337,0.146704849
338,0.076929164
339,0.318479131
340,0.190585594
341,0.059725983
342,0.307031962
343,0.03196672
344,0.003514603
345,0.008488361
346,0.036366651
347,0.007305181
348,0.515844047
349,0.19578045
350,0.271460388
351,0.012332874
352,0.311763924
353,0.371341229
354,0.000174516
355,0.002666154
356,0.013728315
357,0.004274602
358,0.26015647
359,0.381714322
360,0.167788102
361,0.197962776
362,0.730190766
363,0.004907917
364,0.515907748
365,0.366323169
366,0.333630635
367,0.237884489
368,0.016696095
369,0.01154236
370,0.007591584
371,0.006898682
372,0.271783747
373,0.096008841
374,0.007027419
375,0.011003043
376,0.258790479
377,0.529998361
378,0.351892097
379,0.059838604
380,0.090874106
381,0.209636824
382,0.254143635
383,0.010241498
384,0.423813298
385,0.305639916
386,0.018523398
387,0.394335917
388,0.002045653
389,0.002052923
390,0.012359799
391,0.077099708
392,0.216799704
393,0.002229126
394,0.36733546
395,0.002307891
396,0.419463406
397,0.016007804
398,0.007679466
399,0.242345093
400,0.012332634
401,0.018337295
402,0.005217921
403,0.033718124
404,0.001019869
405,0.02744004
406,0.006701905
407,0.040531358
408,0.516841964
409,0.29480885
410,0.050367001
411,0.086636591
412,0.007729244
413,0.37992045
414,0.334678807
415,0.053896042
416,0.017907362
417,0.212020309
418,0.096384762
419,0.403377426
420,0.030173653
421,0.493819849
422,0.469639099
423,0.447867654
424,0.363043766
425,0.189395743
426,0.300112921
427,0.017869106
428,0.346109443
429,0.022991563
430,0.327854812
431,0.107554755
432,0.251271544
433,0.0355185
434,0.006398982
435,0.505211708
436,0.050232384
437,0.004132681
438,0.005011688
439,0.015351834
440,0.020760798
441,0.094071796
442,0.466259015
443,0.005727916
444,0.201667862
445,0.099346997
446,0.470483759
447,0.003679772
448,0.017300108
449,0.174660547
450,0.611892125
451,0.45403768
452,0.027269741
453,0.223843335
454,0.176947324
455,0.090665393
456,0.200285201
457,0.011648406
458,0.223993192
459,0.350542332
460,0.019097095
461,0.009987309
462,0.22151253
463,0.215671124
464,0.00649686
465,0.248624854
466,0.005574332
467,0.084863216
468,0.08169112
469,0.027300586
470,0.23715386
471,0.193681052
472,0.589783144
473,0.172060608
474,0.216072211
475,0.005659827
476,0.054718862
477,0.425354185
478,0.170857744
479,0.161183636
480,0.421724372
481,0.005127383
482,0.183641092
483,0.004792137
484,0.003684072
485,0.093582802
486,0.004683437
487,0.098330379
488,0.001578326
489,0.407542822
490,0.006381375
491,0.613571464
492,0.004834481
493,0.202464589
494,0.015438234
495,0.113687242
496,0.220216506
497,0.016207661
498,0.036323681
499,0.443499902
500,0.044042027
501,0.007175996
502,0.182732703
503,0.001646132
504,0.229524238
505,0.089917554
506,0.013704565
507,0.008512028
508,0.007055774
509,0.011689991
510,0.122365316
511,0.00650129
512,0.198080263
513,0.554777425
514,0.006346058
515,0.337461197
516,0.333771653
517,0.100775567
518,0.010258345
519,0.012079864
520,0.143766153
521,0.312671071
522,0.380429907
523,0.046270887
524,0.007517889
525,0.421303611
526,0.143111898
527,0.097559086
528,0.13145701
529,0.007474947
530,0.521552845
531,0.218069619
532,0.010283009
533,0.422805649
534,0.395597171
535,0.056171724
536,0.399535455
537,0.071022512
538,0.157090123
539,0.022573906
540,0.070431728
541,0.328454145
542,0.370408194
543,0.003295995
544,0.017461762
545,0.007001587
546,0.007300134
547,0.248186693
548,0.259975997
549,0.206978231
550,0.018014293
551,0.699326609
552,0.006270243
553,0.0109936
554,0.020448364
555,0.027401219
556,0.120427071
557,0.016014637
558,0.102189493
559,0.018050256
560,0.025604293
561,0.008326075
562,0.516171589
563,0.313236601
564,0.25210468
565,0.012097383
566,0.010136703
567,0.019935084
568,0.0166494
569,0.737513564
570,0.048620999
571,0.170314544
572,0.012738858
573,0.005172402
574,0.011871933
575,0.005275107
576,0.006313733
577,0.061624055
578,0.028331241
579,0.457631777
580,0.004372993
581,0.002849904
582,0.563074258
583,0.003129675
584,0.101774477
585,0.106826759
586,0.300594364
587,0.119283584
588,0.027954163
589,0.373253893
590,0.104168979
591,0.023914845
592,0.011124059
593,0.276886196
594,0.052882123
595,0.201539835
596,0.066803804
597,0.219441235
598,0.725397285
599,0.552028185
600,0.001294309
601,0.320416807
602,0.00559424
603,0.017894646
604,0.01135178
605,0.004358669
606,0.650850412
607,0.196829594
608,0.023650826
609,0.438151234
610,0.022813708
611,0.286671227
612,0.008841118
613,0.006781113
614,0.119514068
615,0.113408623
616,0.322272061
617,0.43122628
618,0.021299232
619,0.770432675
620,0.002509384
621,0.117165362
622,0.541896022
623,0.010701877
624,0.009732421
625,0.098209175
626,0.124308873
627,0.004078561
628,0.531565138
629,0.13132584
630,0.020734294
631,0.009966634
632,0.002112448
633,0.493156155
634,0.141615944
635,0.287692024
636,0.272306238
637,0.35627354
638,0.020683566
639,0.015859954
640,0.267398998
641,0.021945761
642,0.123558824
643,0.014088625
644,0.029348471
645,0.696103979
646,0.007357189
647,0.006488105
648,0.188412779
649,0.176116
650,0.192616359
651,0.572224736
652,0.538393379
653,0.01226082
654,0.086332125
655,0.301700654
656,0.005069666
657,0.010571487
658,0.692197321
659,0.01406736
660,0.60705822
661,0.007074397
662,0.037355955
663,0.207684143
664,0.017726806
665,0.029388334
666,0.108591166
667,0.041193965
668,0.347112064
669,0.023957422
670,0.008873109
671,0.004872634
672,0.019632444
673,0.011776407
674,0.007696263
675,0.265351679
676,0.029209157
677,0.004254909
678,0.005168916
679,0.627283977
680,0.42423975
681,0.20599613
682,0.02010187
683,0.334930795
684,0.093325722
685,0.250198516
686,0.006157
687,0.245316931
688,0.341875918
689,0.108829613
690,0.00849908
691,0.303938516
692,0.589118527
693,0.144936023
694,0.007539646
695,0.00686033
696,0.00612082
697,0.19324492
698,0.101210299
699,0.128412558
700,0.019887433
701,0.018306532
702,0.520472094
703,0.30086784
704,0.009360041
705,0.175622288
706,0.097399266
707,0.020437142
708,0.027337545
709,0.5633871
710,0.007803434
711,0.026934983
712,0.002929754
713,0.015785016
714,0.308132403
715,0.112025035
716,0.155509215
717,0.535785489
718,0.016966289
719,0.674868272
720,0.015138032
721,0.281498563
722,0.001693414
723,0.189630998
724,0.016439949
725,0.015935077
726,0.297070579
727,0.009967583
728,0.029115263
729,0.010591696
730,0.365152892
731,0.456695607
732,0.326333242
733,0.004231182
734,0.004697932
735,0.11801785
736,0.003946343
737,0.374001461
738,0.065371476
739,0.168453732
740,0.737517825
741,0.004424932
742,0.300683667
743,0.007978857
744,0.0156244
745,0.030028514
746,0.001302996
747,0.260293713
748,0.025254067
749,0.031788209
750,0.412142575
751,0.643055905
752,0.243937278
753,0.402782516
754,0.464650645
755,0.235712809
756,0.258739741
757,0.359746907
758,0.01856254
759,0.033304965
760,0.006401944
761,0.052447946
762,0.422732434
763,0.013533838
764,0.225127318
765,0.028245876
766,0.330390901
767,0.00581353
768,0.055056685
769,0.024063701
770,0.026303748
771,0.00027162
772,0.191565699
773,0.013112655
774,0.039213747
775,0.051565027
776,0.429762267
777,0.663572924
778,0.610833954
779,0.284884408
780,0.095454943
781,0.004675454
782,0.018877498
783,0.154668048
784,0.183668562
785,0.122246038
786,0.44422372
787,0.094243642
788,0.367850482
789,0.410768925
790,0.014873017
791,0.001809089
792,0.01605998
793,0.181758131
794,0.235435706
795,0.114596392
796,0.14903749
797,0.193780912
798,0.536874491
799,0.021896219
800,0.034226949
801,0.051089306
802,0.356783147
803,0.02479839
804,0.007935386
805,0.96242038
806,0.145926298
807,0.014121012
808,0.561020328
809,0.014428799
810,0.203984748
811,0.070493023
812,0.004731492
813,0.003999657
814,0.009293685
815,0.011264911
816,0.008190773
817,0.617926192
818,0.57755942
819,0.298154928
820,0.024583058
821,0.221671172
822,0.118344673
823,0.542780744
824,0.564737676
825,0.213238596
826,0.39767323
827,0.25617883
828,0.015378679
829,0.00439233
830,0.010450622
831,0.02261062
832,0.042389032
833,0.208674653
834,0.007938401
835,0.239751633
836,0.000971185
837,0.049896232
838,0.268664995
839,0.00762925
840,0.070949233
841,0.003222516
842,0.474885976
843,0.024776836
844,0.369708458
845,0.546966802
846,0.611097874
847,0.00057821
848,0.000513638
849,0.269334871
850,0.018570702
851,0.003051977
852,0.198870671
853,0.017206858
854,0.021281508
855,0.512481554
856,0.021437596
857,0.077729155
858,0.0271292
859,0.061220895
860,0.272555373
861,0.045152015
862,0.081561817
863,0.584440973
864,0.012458116
865,0.413804374
866,0.00913288
867,0.124557801
868,0.417328304
869,0.01179986
870,0.020268248
871,0.001612156
872,0.238331265
873,0.119357241
874,0.110301986
875,0.125204411
876,0.151770044
877,0.051442951
878,0.004686734
879,0.110547833
880,0.007334525
881,0.017486362
882,0.128587286
883,0.024045302
884,0.024654168
885,0.217097405
886,0.012901254
887,0.025039554
888,0.020633331
889,0.081979842
890,0.006928193
891,0.090502067
892,0.038723989
893,0.008226316
894,0.009298739
895,0.012625481
896,0.301397325
897,0.003234987
898,0.01398471
899,0.161209688
900,0.01391824
901,0.233913572
902,0.385456713
903,0.210897577
904,0.025586509
905,0.313491164
906,0.007746135
907,0.05369141
908,0.016599566
909,0.218004688
910,0.005269738
911,0.022520672
912,0.066260633
913,0.041610724
914,0.01770598
915,0.531061023
916,0.045569584
917,0.231214536
918,0.110896106
919,0.015034595
920,0.008143992
921,0.004129586
922,0.24129461
923,0.25135626
924,0.375267862
925,0.130009261
926,0.007997306
927,0.124984057
928,0.013738487
929,0.527766495
930,0.365260689
931,0.452998472
932,0.007686101
933,0.1654972
934,0.568130924
935,0.246148546
936,0.073265385
937,0.306429287
938,0.014246278
939,0.347635659
940,0.286564417
941,0.006747297
942,0.194487405
943,0.686033447
944,0.347029451
945,0.340077301
946,0.002924773
947,0.005519904
948,0.786106189
949,0.021679165
950,0.391321968
951,0.039780757
952,0.016501023
953,0.334300355
954,0.310666083
955,0.002910292
956,0.003842006
957,0.502984367
958,0.334168448
959,0.319418275
960,0.505389037
961,0.003675411
962,0.011815351
963,0.010831615
964,0.057004654
965,0.025758511
966,0.293696148
967,0.070668972
968,0.115979092
969,0.05036507
970,0.602092341
971,0.497769384
972,0.041512522
973,0.028375394
974,0.002200136
975,0.014527745
976,0.013586919
977,0.023587054
978,0.091402853
979,0.001150704
980,0.235492524
981,0.009278161
982,0.3269206
983,0.020942782
984,0.04656814
985,0.180743633
986,0.159779613
987,0.672892586
988,0.006166087
989,0.521700071
990,0.017239822
991,0.007986734
992,0.006472565
993,0.005676469
994,0.013414297
995,0.576922644
996,0.053899204
997,0.420710773
998,0.020321087
999,0.39862045
1000,0.011883702
1001,0.02560426
1002,0.913569489
1003,0.16320103
1004,0.315428613
1005,0.167314046
1006,0.216635162
1007,0.01112188
1008,0.218887053
1009,0.156371972
1010,0.390392167
1011,0.016354418
1012,0.01906211
1013,0.326525333
1014,0.012745572
1015,0.269291117
1016,0.456047252
1017,0.025559676
1018,0.558830141
1019,0.116716741
1020,0.168512678
1021,0.082845941
1022,0.00274943
1023,0.278175275
1024,0.012631899
1025,0.003991588
1026,0.138176714
1027,0.409461788
1028,0.072527678
1029,0.001034175
1030,0.006499651
1031,0.250856532
1032,0.473784754
1033,0.002022683
1034,0.009447006
1035,0.345878653
1036,0.019430237
1037,0.004945463
1038,0.223960408
1039,0.182294971
1040,0.582217164
1041,0.285387651
1042,0.014334612
1043,0.196054923
1044,0.005098491
1045,0.01210795
1046,0.03989022
1047,0.214087681
1048,0.014887578
1049,0.021989971
1050,0.006762831
1051,0.166581168
1052,0.363655504
1053,0.255333904
1054,0.019822668
1055,0.126659611
1056,0.380552755
1057,0.376373022
1058,0.017509741
1059,0.004262587
1060,0.012657622
1061,0.010084137
1062,0.888757038
1063,0.005897448
1064,0.339106527
1065,0.113576156
1066,0.025576768
1067,0.383011431
1068,0.575102022
1069,0.299261832
1070,0.06223815
1071,0.020573725
1072,0.003367369
1073,0.176785736
1074,0.01334544
1075,0.025743648
1076,0.568092294
1077,0.137565768
1078,0.195016159
1079,0.004345298
1080,0.538965062
1081,0.531954105
1082,0.233580241
1083,0.366633694
1084,0.017025866
1085,0.000837358
1086,0.002009041
1087,0.157662976
1088,0.020345955
1089,0.016033525
1090,0.420018088
1091,0.003803481
1092,0.280028208
1093,0.014319777
1094,0.234538793
1095,0.198351688
1096,0.075074668
1097,0.008278205
1098,0.087223225
1099,0.007822035
1100,0.307290658
1101,0.005242422
1102,0.632426009
1103,0.569477079
1104,0.009867132
1105,0.007965641
1106,0.138299551
1107,0.135930801
1108,0.30397279
1109,0.675299599
1110,0.578418596
1111,0.012085975
1112,0.019372165
1113,0.180074091
1114,0.011921757
1115,0.17037922
1116,0.01113375
1117,0.099662984
1118,0.128225134
1119,0.334892884
1120,0.427148781
1121,0.425139961
1122,0.581905857
1123,0.007154337
1124,0.006283877
1125,0.275846983
1126,0.020244421
1127,0.209162019
1128,0.107313182
1129,0.012325702
1130,0.022181292
1131,0.16183333
1132,0.348273942
1133,0.004403964
1134,0.290767052
1135,0.374338803
1136,0.098069733
1137,0.025827679
1138,0.023894021
1139,0.359615241
1140,0.053335563
1141,0.695581695
1142,0.028803684
1143,0.104925688
1144,0.181244773
1145,0.158316468
1146,0.116273334
1147,0.002723376
1148,0.523743106
1149,0.009658777
1150,0.09959518
1151,0.41737923
1152,0.013924491
1153,0.001187536
1154,0.011099807
1155,0.053234395
1156,0.012363874
1157,0.00709368
1158,0.006568898
1159,0.029152048
1160,0.20761572
1161,0.005440106
1162,0.015852559
1163,0.010967069
1164,0.328637937
1165,0.017386883
1166,0.008742938
1167,0.005361412
1168,0.25341803
1169,0.145977696
1170,0.011679179
1171,0.014169886
1172,0.224710437
1173,0.023835536
1174,0.154303135
1175,0.015114036
1176,0.014343398
1177,0.356871818
1178,0.002463617
1179,0.015230028
1180,0.158480896
1181,0.043988049
1182,0.012889317
1183,0.181567726
1184,0.023308352
1185,0.006977617
1186,0.13637392
1187,0.112976251
1188,0.016100468
1189,0.304884003
1190,0.479922671
1191,0.012539082
1192,0.079714704
1193,0.242361478
1194,0.025057326
1195,0.038859457
1196,0.159942205
1197,0.027509578
1198,0.133689016
1199,0.285677711
1200,0.008576247
1201,0.02680628
1202,0.053794682
1203,0.575100447
1204,0.65271288
1205,0.132214732
1206,0.005308948
1207,0.011436272
1208,0.032422718
1209,0.447687302
1210,0.002248314
1211,0.073817017
1212,0.098290029
1213,0.024183103
1214,0.07374147
1215,0.391639232
1216,0.179508871
1217,0.021122451
1218,0.019074589
1219,0.040369134
1220,0.051343818
1221,0.248732941
1222,0.009677748
1223,0.023635816
1224,0.197588378
1225,0.340922768
1226,0.016217069
1227,0.056580887
1228,0.019531788
1229,0.009641805
1230,0.399743625
1231,0.018617121
1232,0.007189836
1233,0.49578595
1234,0.008555044
1235,0.109892292
1236,0.002164221
1237,0.006235105
1238,0.085283396
1239,0.352851383
1240,0.014813569
1241,0.01844378
1242,0.243019537
1243,0.007027727
1244,0.104814728
1245,0.026005702
1246,0.153979691
1247,0.06576327
1248,0.253142498
1249,0.255113111
1250,0.091315776
1251,0.547390627
1252,0.084923658
1253,0.412268207
1254,0.255357575
1255,0.146292322
1256,0.020446903
1257,0.011017937
1258,0.009994356
1259,0.527508234
1260,0.022057117
1261,0.002639904
1262,0.215081193
1263,0.014622646
1264,0.110839472
1265,0.274437676
1266,0.557625392
1267,0.026703688
1268,0.083436505
1269,0.875688499
1270,0.011578813
1271,0.019207485
1272,0.518086261
1273,0.007567012
1274,0.068051319
1275,0.046913665
1276,0.018641916
1277,0.005477278
1278,0.067655403
1279,0.004099605
1280,0.015716796
1281,0.013841843
1282,0.208504604
1283,0.010651882
1284,0.200707145
1285,0.304982761
1286,0.767432415
1287,0.020180322
1288,0.038878849
1289,0.544894306
1290,0.014058628
1291,0.184297079
1292,0.244229361
1293,0.635569523
1294,0.005742187
1295,0.016399292
1296,0.010944367
1297,0.013165055
1298,0.491338456
1299,0.009891499
1300,0.495794244
1301,0.020118678
1302,0.274155048
1303,0.319451961
1304,0.241780562
1305,0.213998708
1306,0.282520725
1307,0.590106337
1308,0.309114865
1309,0.168012908
1310,0.20408955
1311,0.156889431
1312,0.00876348
1313,0.018316777
1314,0.296628049
1315,0.043821695
1316,0.226805743
1317,0.014138773
1318,0.016400742
1319,0.65703787
1320,0.604072718
1321,0.31408758
1322,0.005035424
1323,0.011885201
1324,0.473938769
1325,0.19442599
1326,0.267782014
1327,0.107850148
1328,0.148422879
1329,0.387269583
1330,0.240653106
1331,0.008659303
1332,0.000881238
1333,0.033542613
1334,0.01703991
1335,0.37437662
1336,0.011121727
1337,0.660084457
1338,0.004484542
1339,0.015867763
1340,0.005799725
1341,0.492533604
1342,0.003364626
1343,0.523179897
1344,0.015103172
1345,0.012463338
1346,0.022622436
1347,0.034590523
1348,0.014856782
1349,0.29911059
1350,0.021511676
1351,0.012881891
1352,0.004551197
1353,0.19829719
1354,0.000764878
1355,0.188012684
1356,0.362016913
1357,0.250334096
1358,0.009909044
1359,0.017768292
1360,0.019565391
1361,0.279446573
1362,0.014919329
1363,0.154258035
1364,0.160758236
1365,0.016394016
1366,0.385813393
1367,0.731516288
1368,0.444153527
1369,0.16103729
1370,0.006954229
1371,0.15388088
1372,0.114463215
1373,0.654283669
1374,0.037371766
1375,0.13581826
1376,0.002326288
1377,0.711476422
1378,0.013227691
1379,0.001154146
1380,0.002526237
1381,0.002961642
1382,0.398178726
1383,0.019548459
1384,0.029309087
1385,0.204615987
1386,0.08077391
1387,0.380696184
1388,0.112559356
1389,0.025622326
1390,0.448852421
1391,0.004655733
1392,0.365964148
1393,0.019325517
1394,0.03518548
1395,0.203700971
1396,0.180173508
1397,0.127149139
1398,0.019055168
1399,0.025131716
1400,0.060598832
1401,0.013652158
1402,0.255326957
1403,0.316080201
1404,0.228345615
1405,0.02632388
1406,0.343559289
1407,0.25281893
1408,0.072108143
1409,0.545117491
1410,0.007547494
1411,0.042134837
1412,0.094937656
1413,0.351459257
1414,0.201065986
1415,0.008499145
1416,0.043980356
1417,0.419207019
1418,0.127831012
1419,0.016012595
1420,0.01901764
1421,0.005601598
1422,0.01783262
1423,0.299768255
1424,0.289415318
1425,0.292840833
1426,0.014753345
1427,0.021866267
1428,0.024041414
1429,0.026421149
1430,0.792223923
1431,0.001603157
1432,0.314947853
1433,0.015764583
1434,0.038834056
1435,0.009028635
1436,0.176305466
1437,0.006833306
1438,0.296760246
1439,0.001818575
1440,0.018080982
1441,0.032073991
1442,0.020029346
1443,0.004922777
1444,0.00741893
1445,0.070119272
1446,0.740628468
1447,0.008154798
1448,0.153731919
1449,0.006263053
1450,0.014045706
1451,0.027923897
1452,0.005603963
1453,0.095833074
1454,0.386480095
1455,0.182243521
1456,0.112807986
1457,0.703782506
1458,0.195728371
1459,0.00507795
1460,0.008736517
1461,0.35030966
1462,0.014882428
1463,0.023275672
1464,0.330915089
1465,0.007864405
1466,0.555121215
1467,0.30315483
1468,0.722209883
1469,0.105305106
1470,0.330003947
1471,0.003268906
1472,0.380091083
1473,0.002610373
1474,0.102908352
1475,0.007260136
1476,0.299975498
1477,0.033990454
1478,0.112308501
1479,0.487999778
1480,0.008613642
1481,0.136398129
1482,0.085072099
1483,0.057152327
1484,0.599305719
1485,0.103726571
1486,0.0664948
1487,0.035869262
1488,0.645940209
1489,0.01166737
1490,0.003018867
1491,0.195799558
1492,0.038881668
1493,0.206980399
1494,0.534283885
1495,0.009584064
1496,0.092653839
1497,0.011060146
1498,0.588683147
1499,0.084298927
1500,0.352080705
1501,0.110871939
1502,0.007459988
1503,0.001492369
1504,0.119193212
1505,0.00540236
1506,0.005865913
1507,0.027567187
1508,0.010702037
1509,0.223040376
1510,0.25370227
1511,0.006040354
1512,0.002348086
1513,0.003033752
1514,0.448620071
1515,0.037925376
1516,0.119087973
1517,0.019730617
1518,0.024432605
1519,0.017787595
1520,0.238060207
1521,0.375787691
1522,0.342503032
1523,0.009883777
1524,0.018583094
1525,0.25107101
1526,0.288837409
1527,0.265111889
1528,0.117909217
1529,0.003458204
1530,0.595194599
1531,0.004640395
1532,0.004119058
1533,0.124822769
1534,0.560162737
1535,0.01780422
1536,0.006049968
1537,0.010740517
1538,0.011605306
1539,0.008320336
1540,0.068673963
1541,0.255628309
1542,0.022962375
1543,0.108104779
1544,0.04784882
1545,0.006255301
1546,0.078322031
1547,0.010175441
1548,0.212454702
1549,0.163597159
1550,0.15526274
1551,0.044609237
1552,0.619110254
1553,0.300979583
1554,0.019305384
1555,0.145348858
1556,0.0049965
1557,0.009529425
1558,0.014005111
1559,0.056962355
1560,0.598404461
1561,0.403479194
1562,0.024969491
1563,0.205929433
1564,0.021751766
1565,0.043508868
1566,0.261944973
1567,0.171095145
1568,0.453161771
1569,0.002506897
1570,0.198253053
1571,0.716853709
1572,0.566988211
1573,0.214257536
1574,0.006985839
1575,0.356191369
1576,0.007110428
1577,0.019275408
1578,0.149881851
1579,0.2267169
1580,0.07527265
1581,0.004814741
1582,0.099053414
1583,0.460881861
1584,0.416863237
1585,0.015719248
1586,0.591865843
1587,0.024860384
1588,0.073163184
1589,0.005527099
1590,0.016524902
1591,0.008667592
1592,0.001678259
1593,0.014484183
1594,0.317616199
1595,0.091992061
1596,0.260887312
1597,0.194595059
1598,0.022401456
1599,0.674143827
1600,0.009763917
1601,0.005535643
1602,0.009323106
1603,0.012491782
1604,0.032200894
1605,0.186613996
1606,0.010165268
1607,0.139697585
1608,0.152365054
1609,0.005229683
1610,0.00929195
1611,0.33653364
1612,0.004712564
1613,0.62861129
1614,0.21799748
1615,0.00547802
1616,0.020979828
1617,0.352677478
1618,0.001628259
1619,0.093377217
1620,0.743922745
1621,0.015000065
1622,0.51729776
1623,0.267472105
1624,0.040645113
1625,0.323350801
1626,0.604903596
1627,0.628345018
1628,0.027382004
1629,0.008869793
1630,0.012987749
1631,0.300744363
1632,0.654923595
1633,0.227818005
1634,0.254892483
1635,0.103245952
1636,0.002188956
1637,0.002768121
1638,0.009773861
1639,0.110557241
1640,0.258011469
1641,0.314919162
1642,0.009579016
1643,0.188172475
1644,0.300162506
1645,0.537007393
1646,0.226741346
1647,0.321110186
1648,0.00379169
1649,0.007618348
1650,0.02029315
1651,0.004247108
1652,0.790206852
1653,0.154545324
1654,0.067762533
1655,0.494017983
1656,0.00556849
1657,0.492477235
1658,0.012545173
1659,0.62843543
1660,0.546888482
1661,0.026921594
1662,0.122166666
1663,0.019312585
1664,0.093073285
